nombre,deporte,edad,peso_kg,altura_cm,frecuencia_cardiaca_bpm,horas_entrenamiento_semana,rendimiento_score,posicion
Tomás Gutiérrez,FUTBOL,28.0,56.5,201.0,47.0,16.8,8.06,MEDIOCAMPISTA
Paola Romero,ATLETISMO,42.0,88.7,185.0,66.0,13.866635071090046,7.75,NADADOR
Matías Silva,BALONCESTO,25.0,76.7,177.0,74.0,18.1,4.66,NADADOR
Rodrigo Sandoval,BOXEO,18.0,58.7,163.0,70.0,13.866635071090046,5.42,DELANTERO
Fernanda Jiménez,FUTBOL,19.0,68.6,199.0,53.0,23.7,8.22,CICLISTA
Diego Torres,NATACION,44.0,93.6,197.0,69.75212464589235,23.7,4.14,DEFENSA
Sebastián Rojas,NATACION,25.0,102.6,183.0,57.0,15.6,7.16,PORTERO
Alicia Campos,ATLETISMO,20.0,77.1,196.0,75.0,20.2,4.81,DELANTERO
Catalina Mora,VOLEIBOL,29.0,73.7,183.0,55.0,24.0,9.76,DELANTERO
Isabella Castro,TENIS,37.0,68.1,187.0,76.0,12.8,6.75,DEFENSA
Roxana Salinas,ATLETISMO,21.0,71.3,197.0,55.0,20.6,3.13,CORREDOR
Valentina Ramírez,TENNIS,16.0,73.3,179.5212464589235,59.0,15.0,8.55,CICLISTA
Luis Parra,NATACION,35.0,99.3,181.0,86.0,14.1,5.02,NADADOR
Ricardo Álvarez,NATACION,24.0,72.9,199.0,69.75212464589235,21.9,3.54,
Carolina Ríos,NATACION,32.0,74.0,201.0,57.0,24.4,1.76,DEFENSA
Sofía Hernández,CICLISMO,16.0,81.1,164.0,79.0,7.3,3.62,NADADOR
Pedro Rodríguez,BALONCESTO,44.0,102.3,159.0,80.0,12.5,5.18,DELANTERO
Andrés Flores,ATLETISMO,27.0,86.8,192.0,60.0,22.2,2.88,DELANTERO
Ignacio Peña,NATACION,44.0,80.09667630057803,177.0,59.0,17.7,9.55,DEFENSA
Ana Martínez,ATLETISMO,32.0,81.9,183.0,60.0,24.3,5.75,CICLISTA
Patricio Bravo,TENIS,26.0,94.9,175.0,57.0,13.7,5.42,ATACANTE
Fernanda Jiménez,ATLETISMO,16.0,56.3,183.0,75.0,13.866635071090046,3.56,PORTERO
Marcela Varela,TENIS,38.0,104.0,174.0,88.0,17.9,6.59,PORTERO
Gonzalo Fuentes,FUTBOL,32.0,80.09667630057803,171.0,66.0,19.3,9.83,CICLISTA
Gonzalo Fuentes,ATLETISMO,39.0,90.3,184.0,86.0,13.866635071090046,9.87,CICLISTA
